Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec
1880;-0,85;-0,42;-0,49;-0,68;-0,38;-0,5;-0,49;0,05;-0,52;-0,68;-0,53;-0,55
1881;-0,81;-0,64;-0,38;-0,29;-0,06;-1,16;-0,58;-0,3;-0,38;-0,52;-0,61;-0,19
1882;0,06;-0,16;-0,13;-0,64;-0,43;-1,07;-0,76;-0,17;-0,13;-0,36;-0,44;-0,72
1883;-0,73;-0,99;-0,5;-0,36;-0,4;0,41;-0,05;-0,19;-0,49;-0,59;-0,72;-0,43
1884;-0,66;-0,39;-0,44;-0,98;-1,24;-0,88;-0,9;0,1;-0,42;-0,82;-0,87;-1,06
1885;-0,97;-0,84;-0,96;-0,91;-0,54;-0,98;-0,68;-0,21;-0,2;-0,07;-0,43;-0,04
1886;-0,81;-0,87;-0,72;-0,67;-0,61;-0,88;-0,45;-0,78;-0,47;-0,9;-0,54;-0,8
1887;-0,91;-1,31;-0,62;-0,88;-0,91;-0,71;-0,45;-0,3;-0,66;-0,57;-0,96;-0,7
1888;-0,78;-0,85;-0,94;-0,35;-0,81;-0,59;-0,4;-0,39;-0,45;-0,3;-0,1;-0,21
1889;-0,33;0,13;0,03;0,09;0,07;-0,34;-0,44;-0,63;-0,4;-0,23;-0,47;-0,44
1890;-0,64;-0,66;-0,64;-0,53;-0,94;-0,61;-0,6;-0,62;-0,36;-0,29;-0,81;-0,56
1891;-0,97;-1,07;-0,51;-0,66;-0,5;-0,57;-0,72;-0,6;-0,5;-0,54;-0,53;0,04
1892;-0,63;-0,31;-0,59;-0,71;-0,67;-0,57;-0,41;-0,29;-0,52;-0,37;-0,67;-0,65
1893;-1,47;-1,04;-0,63;-0,7;-0,79;-0,73;-0,17;-0,36;-0,29;-0,11;-0,16;-0,42
1894;-0,8;-0,65;-0,43;-0,67;-0,69;-0,52;-0,42;-0,36;-0,45;-0,11;-0,18;-0,2
1895;-0,72;-0,81;-0,54;-0,5;-0,35;-0,33;-0,56;-0,22;-0,18;-0,12;-0,19;-0,12
1896;-0,25;-0,31;-0,55;-0,49;-0,46;-0,47;-0,21;-0,38;-0,11;-0,03;-0,45;-0,22
1897;-0,29;-0,52;-0,32;-0,13;-0,27;-0,19;-0,13;-0,33;-0,16;-0,23;-0,03;-0,24
1898;-0,15;-0,47;-0,83;-0,61;-0,67;-0,33;-0,38;-0,24;-0,03;-0,41;-0,51;-0,24
1899;-0,45;-0,62;-0,4;-0,26;-0,43;-0,56;-0,33;-0,29;-0,04;-0,3;-0,04;-0,23
1900;-0,55;-0,07;-0,19;-0,18;-0,2;-0,12;-0,37;-0,17;-0,07;0,16;-0,12;-0,08
1901;-0,23;-0,13;-0,13;-0,1;-0,22;0,02;-0,25;-0,21;0,02;-0,18;-0,15;-0,24
1902;-0,31;-0,05;-0,19;-0,2;-0,33;-0,36;-0,45;-0,52;-0,4;-0,44;-0,49;-0,56
1903;-0,34;-0,14;-0,18;-0,55;-0,45;-0,65;-0,32;-0,43;-0,43;-0,49;-0,46;-0,61
1904;-0,8;-0,76;-0,57;-0,45;-0,65;-0,5;-0,62;-0,5;-0,45;-0,52;-0,26;-0,42
1905;-0,43;-0,98;-0,24;-0,33;-0,36;-0,31;-0,44;-0,27;-0,22;-0,37;-0,09;-0,27
1906;-0,19;-0,34;-0,35;0,03;-0,21;-0,24;-0,23;-0,18;-0,32;-0,19;-0,55;-0,27
1907;-0,5;-0,68;-0,48;-0,62;-0,61;-0,68;-0,44;-0,55;-0,4;-0,33;-0,6;-0,67
1908;-0,39;-0,33;-0,52;-0,47;-0,34;-0,44;-0,4;-0,39;-0,17;-0,4;-0,59;-0,41
1909;-0,79;-0,59;-0,5;-0,62;-0,61;-0,43;-0,35;-0,1;-0,19;-0,16;-0,15;-0,56
1910;-0,45;-0,39;-0,46;-0,3;-0,25;-0,34;-0,23;-0,14;-0,11;-0,3;-0,54;-0,67
1911;-0,67;-0,67;-0,62;-0,55;-0,4;-0,39;-0,18;-0,26;-0,27;-0,18;-0,15;-0,26
1912;-0,19;-0,12;-0,43;-0,31;-0,2;-0,27;-0,51;-0,64;-0,37;-0,48;-0,44;-0,34
1913;-0,46;-0,51;-0,59;-0,32;-0,64;-0,62;-0,24;-0,22;-0,22;-0,31;-0,16;0,03
1914;0,13;-0,05;-0,05;-0,21;-0,03;-0,1;-0,23;-0,09;-0,08;0,12;-0,34;-0,23
1915;-0,18;0,06;-0,1;-0,02;-0,24;-0,23;0,01;-0,21;-0,03;-0,1;0,03;-0,12
1916;-0,08;-0,12;-0,46;-0,3;-0,37;-0,51;-0,38;-0,11;-0,19;-0,16;-0,39;-0,82
1917;-0,55;-0,76;-0,81;-0,55;-0,82;-0,48;-0,02;-0,4;-0,33;-0,51;-0,34;-0,97
1918;-0,65;-0,6;-0,5;-0,57;-0,79;-0,45;-0,5;-0,48;-0,18;0,01;-0,27;-0,36
1919;-0,3;-0,26;-0,11;-0,14;-0,18;-0,18;-0,1;-0,1;-0,21;-0,08;-0,45;-0,31
1920;-0,13;-0,3;-0,18;-0,22;-0,33;-0,39;-0,23;-0,17;-0,18;-0,45;-0,36;-0,5
1921;-0,04;-0,19;-0,14;-0,2;-0,21;-0,11;-0,01;-0,47;-0,14;-0,1;-0,29;-0,2
1922;-0,43;-0,49;-0,34;-0,13;-0,39;-0,34;-0,06;-0,26;-0,16;-0,25;-0,14;-0,18
1923;-0,29;-0,24;-0,25;-0,49;-0,35;-0,31;-0,52;-0,38;-0,31;-0,1;-0,03;-0,08
1924;-0,3;-0,43;-0,15;-0,52;-0,3;-0,18;-0,18;-0,18;-0,07;-0,15;-0,08;-0,3
1925;-0,45;-0,39;-0,25;-0,2;-0,35;-0,39;-0,4;-0,11;-0,32;-0,35;-0,02;0,17
1926;0,25;0,3;0,2;-0,12;-0,36;-0,25;-0,17;0,01;0;-0,12;0,02;-0,27
1927;-0,22;-0,2;-0,4;-0,37;-0,33;-0,29;-0,06;-0,28;-0,13;0,12;0,09;-0,26
1928;0,05;-0,04;-0,13;-0,12;-0,4;-0,55;-0,09;-0,07;0;-0,06;0,07;-0,07
1929;-0,31;-0,54;-0,38;-0,44;-0,43;-0,45;-0,4;-0,39;-0,22;0,01;-0,05;-0,62
1930;-0,25;-0,24;-0,07;-0,26;-0,18;-0,25;-0,23;-0,19;-0,15;-0,28;0,07;-0,1
1931;-0,16;-0,32;-0,08;-0,32;-0,2;-0,11;0,04;0,06;-0,2;0,03;-0,19;0,05
1932;0,31;-0,32;-0,24;0,02;-0,22;-0,49;-0,27;-0,22;0;0,04;-0,13;-0,2
1933;-0,41;-0,3;-0,27;-0,2;-0,16;-0,3;-0,15;-0,21;-0,14;-0,1;-0,41;-0,59
1934;-0,19;-0,17;-0,4;-0,38;-0,03;-0,21;-0,04;0,02;-0,1;-0,09;0,01;0,04
1935;-0,36;0,18;0;-0,53;-0,38;-0,26;-0,31;-0,26;-0,43;-0,09;-0,37;-0,21
1936;-0,31;-0,47;-0,2;-0,05;-0,31;-0,19;0,18;-0,01;-0,03;0;0;0,05
1937;-0,15;0,03;-0,23;-0,22;-0,05;-0,07;-0,15;0,03;0,21;0,18;0,26;-0,12
1938;-0,04;-0,02;0,17;0,24;0,05;-0,15;-0,03;-0,1;0,07;0,3;0,08;-0,13
1939;-0,06;-0,2;-0,39;-0,19;-0,04;-0,13;-0,16;-0,29;-0,17;-0,12;-0,19;0,31
1940;-0,25;0,04;0,08;-0,01;0,03;0,13;0,18;0,05;0,16;0,04;0,03;0,21
1941;0;0,19;-0,14;-0,01;0,07;0,1;0,24;0,01;-0,23;0,07;-0,08;-0,01
1942;0,18;-0,05;-0,02;-0,02;0,01;0,05;0,03;0,08;0,05;-0,01;0,1;0,03
1943;-0,22;0,03;-0,15;-0,02;-0,13;-0,14;0,06;-0,2;0,02;0,26;0,05;0,19
1944;0,3;0,11;0,08;-0,08;-0,08;-0,08;0,02;0,05;0,21;0,2;-0,01;-0,22
1945;-0,01;-0,16;-0,03;0,1;-0,28;-0,33;-0,25;0,18;0,05;0,04;-0,07;-0,37
1946;-0,01;-0,05;-0,17;0,03;-0,01;-0,18;0,04;-0,05;0;-0,15;-0,09;-0,31
1947;-0,13;0,03;0,18;0,12;-0,01;0,02;-0,03;0,01;0,02;0,23;0,21;-0,18
1948;0,2;-0,16;-0,27;-0,11;0,04;0,05;-0,15;-0,17;0,02;-0,01;-0,16;-0,19
1949;0,03;-0,34;-0,06;-0,24;-0,13;-0,15;-0,09;-0,11;-0,04;0,03;-0,03;-0,16
1950;-0,3;-0,3;-0,04;-0,22;-0,21;-0,08;-0,11;-0,33;-0,17;-0,2;-0,4;-0,17
1951;-0,38;-0,47;-0,15;-0,04;0,05;-0,05;-0,06;0,09;0,07;0;-0,03;0,13
1952;0,07;0,1;-0,19;-0,08;-0,12;-0,11;0,03;0,08;0,12;-0,03;-0,21;-0,04
1953;0,1;0,06;0,15;0,1;-0,03;0;-0,05;0,1;0,06;0,04;0;0,13
1954;-0,32;-0,09;-0,12;-0,15;-0,19;-0,21;-0,27;-0,18;-0,17;-0,01;0,16;-0,13
1955;0,21;-0,11;-0,39;-0,19;-0,18;-0,19;-0,17;0,1;-0,11;0,01;-0,25;-0,31
1956;-0,24;-0,32;-0,34;-0,26;-0,3;-0,11;-0,12;-0,32;-0,15;-0,24;-0,24;-0,2
1957;-0,15;-0,05;-0,09;0;0;0,14;-0,12;0,13;0,1;0;0,13;0,2
1958;0,41;0,24;0,18;0,08;0,11;-0,18;0,07;-0,1;-0,07;0,09;0,08;-0,07
1959;0,03;0,08;0,23;0,18;-0,01;0,07;0,09;0;-0,13;-0,1;-0,09;0,08
1960;0,07;0,26;-0,47;-0,21;-0,15;-0,02;-0,12;0,07;0,08;0,11;-0,11;0,17
1961;0,08;0,22;0,03;0,12;0,17;0,12;0;0,07;0,15;0,08;0,07;-0,14
1962;0,07;0,15;0,1;0,05;-0,12;0,05;-0,13;-0,09;0;0,01;0,09;0
1963;-0,02;0,23;-0,23;-0,19;-0,14;0,02;0,06;0,18;0,22;0,09;0,05;-0,06
1964;-0,07;-0,17;-0,28;-0,36;-0,33;-0,14;-0,08;-0,3;-0,37;-0,35;-0,22;-0,35
1965;-0,06;-0,18;-0,12;-0,29;-0,17;-0,15;-0,26;-0,09;-0,27;-0,1;-0,14;-0,19
1966;-0,22;-0,03;0,14;-0,09;-0,1;-0,04;0,11;-0,1;-0,03;-0,27;-0,06;-0,08
1967;-0,08;-0,25;0,01;-0,09;0,17;-0,12;0,06;0,03;0;0,11;0,01;0
1968;-0,2;-0,16;0,32;-0,08;-0,18;-0,11;-0,12;-0,07;-0,26;0,07;-0,07;-0,21
1969;-0,15;-0,25;-0,09;0,12;0,16;0,05;-0,02;-0,08;0,01;0,09;0,09;0,34
1970;0,05;0,27;0,11;0,12;-0,04;0,12;0,1;-0,07;0,16;0,12;0,04;-0,1
1971;-0,02;-0,13;-0,2;-0,04;-0,06;-0,2;-0,09;0,04;0,03;-0,01;-0,1;-0,04
1972;-0,28;-0,3;-0,06;-0,04;-0,01;0,08;0,06;0,2;0,06;-0,02;-0,04;0,15
1973;0,26;0,32;0,37;0,35;0,35;0,29;0,21;0,07;0,12;0,2;0,11;-0,01
1974;-0,05;-0,23;0;-0,07;0,03;0,02;-0,02;0,13;-0,14;-0,07;-0,07;-0,03
1975;0,07;0,1;0,14;0,04;0,27;0,05;0,07;-0,25;-0,02;-0,03;-0,06;-0,22
1976;-0,01;-0,07;-0,31;-0,23;-0,23;-0,18;-0,16;-0,24;-0,15;-0,37;-0,15;-0,01
1977;0,15;0,23;0,31;0,32;0,3;0,32;0,31;0,29;-0,07;0,01;0,25;0,14
1978;0,13;0,2;0,27;0,27;0,2;0,04;0,2;-0,14;0,16;0,04;0,16;0,12
1979;0,18;-0,1;0,26;0,2;0,09;0,21;0,04;0,14;0,3;0,28;0,31;0,53
1980;0,36;0,46;0,42;0,44;0,47;0,22;0,38;0,32;0,33;0,24;0,29;0,2
1981;0,62;0,57;0,66;0,51;0,33;0,39;0,51;0,54;0,29;0,11;0,22;0,48
1982;0,13;0,25;0;0,04;0,26;0,05;0,19;0,09;0,1;0,02;0,13;0,42
1983;0,5;0,41;0,49;0,41;0,5;0,29;0,21;0,47;0,57;0,35;0,33;0,19
1984;0,25;0,17;0,38;0,16;0,47;0,05;0,19;0,29;0,28;0,23;0,12;0,04
1985;0,32;0,02;0,27;0,21;0,23;0,28;0,03;0,36;0,27;0,14;0,1;0,15
1986;0,39;0,53;0,4;0,44;0,34;0,13;0,15;0,21;0,03;0,12;0,13;0,21
1987;0,44;0,54;0,25;0,38;0,3;0,57;0,6;0,28;0,37;0,36;0,31;0,57
1988;0,67;0,49;0,62;0,5;0,62;0,59;0,44;0,57;0,55;0,55;0,18;0,38
1989;0,25;0,45;0,44;0,41;0,18;0,14;0,48;0,52;0,54;0,44;0,23;0,4
1990;0,53;0,42;0,86;0,64;0,55;0,46;0,62;0,43;0,31;0,52;0,54;0,48
1991;0,5;0,62;0,48;0,73;0,43;0,69;0,63;0,56;0,63;0,35;0,34;0,34
1992;0,52;0,44;0,55;0,24;0,27;0,3;0,08;0,14;-0,02;0,1;0,04;0,26
1993;0,4;0,42;0,34;0,31;0,28;0,27;0,39;0,22;0,11;0,24;0,09;0,18
1994;0,39;0,08;0,28;0,53;0,28;0,59;0,41;0,27;0,42;0,42;0,53;0,45
1995;0,58;0,9;0,53;0,59;0,38;0,51;0,66;0,58;0,47;0,69;0,55;0,42
1996;0,43;0,62;0,46;0,52;0,34;0,34;0,58;0,78;0,43;0,35;0,52;0,54
1997;0,48;0,56;0,68;0,4;0,43;0,68;0,34;0,45;0,5;0,6;0,72;0,69
1998;0,73;1,21;0,84;0,82;0,94;1,04;0,93;0,86;0,6;0,69;0,66;0,79
1999;0,68;0,86;0,49;0,39;0,49;0,63;0,63;0,54;0,66;0,63;0,58;0,52
2000;0,3;0,78;0,69;0,74;0,55;0,68;0,62;0,61;0,56;0,35;0,48;0,48
2001;0,59;0,62;0,68;0,6;0,72;0,66;0,72;0,63;0,7;0,62;0,79;0,73
2002;0,97;0,89;1,12;0,79;0,87;0,65;0,83;0,68;0,82;0,64;0,72;0,55
2003;0,93;0,74;0,72;0,68;0,86;0,63;0,64;0,85;0,82;0,85;0,64;0,87
2004;0,73;0,93;0,84;0,76;0,46;0,65;0,23;0,57;0,57;0,83;0,88;0,67
2005;0,97;0,86;0,94;0,81;0,74;0,82;0,79;0,73;0,98;1;0,89;0,9
2006;0,77;0,91;0,8;0,69;0,51;0,77;0,64;0,81;0,72;0,82;0,85;0,88
2007;1,21;0,92;0,9;0,92;0,94;0,67;0,77;0,84;0,8;0,8;0,72;0,7
2008;0,47;0,44;0,89;0,65;0,55;0,5;0,73;0,4;0,81;0,73;0,8;0,72
2009;0,74;0,74;0,65;0,74;0,83;0,8;0,86;0,85;0,88;0,71;0,83;0,75
2010;0,95;1,03;1,1;0,98;0,96;0,83;0,72;0,81;0,85;0,93;1;0,68
2011;0,7;0,67;0,75;0,81;0,64;0,73;0,89;0,96;0,77;0,83;0,78;0,8
2012;0,61;0,57;0,69;0,78;0,93;0,71;0,55;0,86;0,88;0,91;0,92;0,71
2013;0,97;0,73;0,84;0,66;0,65;0,87;0,66;0,79;1,01;0,84;0,88;0,82
2014;0,94;0,63;0,75;0,87;1,04;0,77;0,71;0,85;1,09;1,01;0,8;0,97
2015;0,94;1,07;1,1;0,78;0,84;0,84;0,7;0,87;0,8;1,19;1,19;1,38
2016;1,36;1,64;1,63;1,35;1,14;0,89;0,96;1,32;1,1;1,22;1,2;1,14
2017;1,14;1,42;1,37;1,16;1,23;0,78;1,08;1,11;0,97;1,17;1,06;1,16
2018;1,03;1,15;1,21;1,2;1,01;0,87;1,07;0,91;0,9;1,12;0,98;1,22
